text,label
Monty could get nod despite loss of form Colin Montgomerie has been walking around like a man who has already received the nod over his selection for the Ryder Cup team. The players all say that they want him in the team.,Sport
"The New Woman in Schrder #39;s Life Gerhard Schrder is no stranger to sharing his life with members of the opposite sex. On Monday, it was revealed that there was a new young lady on the scene: his freshly adopted three-year old daughter, Viktoria. ",Politics
South Africa Win Second Tri-Nations Title  DURBAN (Reuters) - South Africa survived two late yellow  cards to win their second Tri-nations title with a rousing  23-19 triumph over Australia in Durban on Saturday.,Sport
"Hicks fronts military commission DAVID Hicks, the Australian accused of fighting with the Taliban, appeared before a US military commission panel overnight, with defence lawyers challenging the impartiality of one panel member once praised for  quot;tracking and killing quot; Taliban fighters.",Politics
"Injured Ferrero Edged Out by Koubek  NEW YORK (Reuters) - An injured Juan Carlos Ferrero  suffered his third successive early exit from a grand slam on  Friday when he was beaten 7-6, 4-6, 6-7, 6-2, 6-3, in the  second round of the U.S. Open by Austria's Stefan Koubek.",Sport
Soccer: Big teams off to winning start in Champions League Coach Jose Mourinho began his quest for a second successive title in the best way possible when his Chelsea side beat Paris St Germain 3-0 in their opening group H match yesterday.,Sport
"A big night for American track _ five medals and a countryman wins &lt;b&gt;...&lt;/b&gt; What a night for US athletes in Olympic track and field. Even in the event that went to another country, an American won. Shawn Crawford, Bernard Williams and Justin Gatlin swept the 200.",Sport
Chechnya prepares to hold election to replace assassinated &lt;b&gt;...&lt;/b&gt; MOSCOW Police in Chechnya have orders to shoot anyone wearing a mask on sight ahead of Sunday #39;s presidential election. Thousands of Russian soldiers and Chechen police are on 24-hour patrol ahead of the vote ,Politics
"Man Finds 3 WWI Troops #39; Bodies in Glacier PEIO, Italy - An amateur Italian historian has found the preserved bodies of three Austro-Hungarian soldiers in an Alpine glacier, 86 years after they were killed in World War One.",Politics
Italy tackles Libya migrant route Italian PM Silvio Berlusconi holds talks with Libya's Colonel Gaddafi on curbing illegal immigration.,Politics
"Yankees hold off Blue Jays Derek Jeter, Hideki Matsui, and Bernie Williams each homered and the New York Yankees held on for an 8-7 victory over the Blue Jays last night in Toronto. Esteban Loaiza failed to make it out of the fifth inning in another poor start since being acquired from the Chicago White Sox in a July 31 trade for Jose Contreras.",Sport
Milosevic takes back seat as first defence witness on stand (AFP) AFP - Former Yugoslav president Slobodan Milosevic was forced to take a back seat at his trial for genocide and war crimes as lawyers imposed on him by a UN tribunal examined his first defence witness.,Politics
"Wrestling: Cinderella in Sydney suffers turnabout at hands of &lt;b&gt;...&lt;/b&gt; One of the big stars of the 2000 Summer Games, Gardner was thrown to the mat in overtime by Georgi Tsurtsumia of Kazakhstan and lost 4-1 in his Greco-Roman semifinal match.",Sport
NL Wrap: Patterson Homer Keeps Cubs in NL Wildcard Lead  NEW YORK (Reuters) - Corey Patterson clubbed a two-run  homer in the bottom of the ninth inning to give the Chicago  Cubs a 4-2 win over the Milwaukee Brewers in the National  League (NL) Wednesday.,Sport
Cardinals' Carpenter Leaves Game (AP) AP - St. Louis Cardinals pitcher Chris Carpenter left Saturday's start against the Arizona Diamondbacks in the fourth inning with a strained right biceps.,Sport
All-American girl ATHENS -- That was then and this is now. That was there and this is here. So which is a bigger moment? Mary Lou Retton #39;s  quot;No-Fault Vault quot; that produced America #39;s first Olympic all-around gold medal in women #39;s ...,Sport
"Canada is World Cup champion When Wayne Gretzky began assembling Team Canada #39;s roster last spring for the World Cup of Hockey, he knew that nothing short of victory would appease a nation that had been stunned by the Americans in 1996.",Sport
"Vanuatu government tells Australian police they're not wanted (AFP) AFP - Vanuatu's new government has told Australian Federal Police on assignment in the Pacific island nation to leave the country by September 15, officials in Canberra said.",Politics
Hewitt cruises past Llodra Second seed Lleyton Hewitt beat Frenchman Michael Llodra 6-1 6-4 to reach the quarter-finals of the TD Waterhouse Cup on Thursday.,Sport
Terps Need Leadership Maryland's seniors need to provide steadfast leadership to the underclassmen as the Terrapins enter a hostile environment at Mountaineer Field.,Sport
"Europe seeks deadline for Iran to allay nuclear fears BRUSSELS : Key European governments turned up the pressure on Iran over its nuclear plans, giving Tehran a November deadline to allay concern it is secretly making atomic weapons.",Politics
"Doping Casts Shadow Over Olympics -- Again  ATHENS (Reuters) - Five weightlifters were banned from the  Olympics after failing drugs tests, officials said on Thursday,  as doping scandals continued to dominate the first week of the  Games.",Sport
"Russia to Tighten Passenger Requirements MOSCOW Aug. 28, 2004 - Russian airlines will be required to document passengers more thoroughly following this week #39;s twin plane crashes, a news agency reported Saturday, as the discovery of explosives stoked ",Politics
"Van Basten entrusts Dutch captaincy to Davids AMSTERDAM, Aug 18 (Reuters) - Midfielder Edgar Davids #39;s leadership qualities and never-say-die attitude have earned him the captaincy of the Netherlands under new coach Marco van Basten. ",Sport
"Carter - joined the Jets. (Getty Images) Less than three weeks after being released by the Dallas Cowboys, quarterback Quincy Carter has landed with the New York Jets. Carter arrived in New York on Tuesday and signed a one-year contract.",Sport
"Boston at Chicago Sox, 8:05 PM CHICAGO (Ticker) -- The Boston Red Sox will go for a three-game sweep when they face the Chicago White Sox at US Cellular Field on Sunday night.",Sport
VOLLER HAPPY TO STEP ASIDE Newly-appointed Roma coach Rudi Voller would be willing to step down if his predecessor Cesare Prandelli decides to return to the Giallorossi club.,Sport
"Bryant Prosecutors Question Defense DNA Evidence (Reuters) Reuters - Prosecutors in the rape case against\U.S. basketball star Kobe Bryant are questioning the validity\of DNA evidence crucial to the defense's case, saying data\appeared to have been manipulated and might have to be thrown\out.",Sport
"Russia shaken by air crash enigma Russia is in mourning for the 89 victims of a mystery double air crash, as officials refuse to rule out sabotage.",Politics
"Officials deny barring pro-democracy lawmaker A top Chinese official yesterday defended his government #39;s decision to bar a Hong Kong pro-democracy lawmaker from entering the mainland, saying customs authorities acted legally.",Politics
Astros Find New Meaning in Their Once-Lost Season The Houston Astros are rising from the dead and playing the way their hierarchy and others thought they would play all season.,Sport
"US wonders if North Korea is preparing for nuclear test WASHINGTON : The US intelligence community is in the grip of an internal debate on whether new data on North Korea should be interpreted as a sign the country is preparing for its first nuclear weapons test, US administration officials said.",Politics
Sudan refugees report new attacks More Sudanese refugees flee across the border into Chad following reports of renewed violence in the Darfur region.,Politics
"Ganguly praises team India, awaits arch-rival Pakistan SOUTHAMPTON: Indian skipper Sourav Ganguly on Saturday expressed happiness over the all-round performance of the team in the ICC champions trophy match against Kenya and said they were ready for the big game against Pakistan.",Sport
Hostage claims remain unconfirmed There is still no confirmation of reports that two Australians working as security guards in Iraq are being held hostage by Islamic extremists.,Politics
"Agassi: Let's Give Replay a Try (AP) AP - At 34, Andre Agassi has seen a lot of things in tennis. And here's one more that he'd like to add: instant replay.",Sport
Bolton beat Liverpool to stand third at the table Striker Kevin Davies scored late inthe first half to give Bolton Wanderers a 1-0 home win over Liverpool that lifted them into third place in the Premier League on Sunday.,Sport
Patriots Open With Win Mike Vanderjagt misses a 48-yard field goal in the final seconds as defending champion New England holds on for a 27-24 victory over the Indianapolis Colts on Thursday.,Sport
"Bonds Blast Would Make Milwaukee Famous Wherever Barry Bonds turned Tuesday night, he was confronted with another symbol of his conflicting legacy. Hanging over his head in left field was Hank Aaron #39;s retired No.",Sport
"Okocha Tests Liverpool Super Eagles captain Austin Jay-Jay Okocha will lead out his English club Bolton Wanderers this afternoon in their fourth game of the new Premiership season, against Anfield giants Liverpool.",Sport
"DePaul #39;s Leitao gets contract extension Chicago, IL (Sports Network) - DePaul University head men #39;s basketball coach Dave Leitao agreed to a six-year contract extension on Friday.",Sport
"Jones Fails to Win Medal in Long Jump or Relay ATHENS, Greece (AP) -- A botched relay handoff doomed Marion Jones' chances of winning even a single medal at the Athens Olympics, a disastrous ending to her summer of turmoil and disappointment. Hoping to win a pair of golds Friday, Jones was shut out instead. An hour after she finished fifth in the long jump, Jones was unable to make the handoff in the 400-meter relay when Lauryn Williams left too early.",Politics
Marathon has weird intrusion Italy #39;s Stefano Baldini surged ahead with two miles to go and won the Olympic marathon Sunday while American Meb Keflezighi finished a surprising second in a ,Sport
"Romania Wins Women's Gymnastics Gold, U.S. Takes Silver  ATHENS (Reuters) - Romania underlined their superiority  over the rest of the field by storming to the women's  gymnastics team gold at the Olympic Games Tuesday.",Sport
"Phelps wins fourth gold at Athens Olympics ATHENS, Aug. 19 (Xinhuanet) -- Michael Phelps won his fourth gold medal at the Olympic Games in the men #39;s 200m individual medley here on Thursday. ",Sport
"Peres demands early Israeli elections Israel #39;s opposition leader, Shimon Peres, today called for early elections that would effectively rule his party out of joining a coalition to prop up the prime minister, Ariel Sharon. ",Politics
"Migrants #39; ordeal ugly side of paradise Pleasant visions of fun in the sun in the Dominican Republic are being shattered by sad images of residents being smuggled away on wooden boats, only to perish at sea. ",Politics
"Afghans Hold Taliban Suspects for Karzai Attack  KABUL (Reuters) - Three suspected Taliban members have been  arrested for trying to kill Afghan President Hamid Karzai by  firing a rocket at his helicopter during his first election  campaign trip outside Kabul, officials said on Friday.",Politics
"Cyclists find fast track as competition begins ATHENS, Greece -- Erin Mirabella of the United States predicted a fast track for the opening day of track cycling competition at the Olympic Velodrome on Friday. ",Sport
"Iraq Cleric Agrees End Uprising, Fighting Continues  NAJAF, Iraq (Reuters) - A radical Iraqi cleric leading a  Shi'ite uprising agreed Wednesday to disarm his militia and  leave one of the country's holiest Islamic shrines after  warnings of an onslaught by government forces.",Politics
"Motor Cycling: Japan #39;s Tamada grabs pole in Japan GP with &lt;b&gt;...&lt;/b&gt; MOTEGI, Japan: Local hope Makoto Tamada of Japan has taken pole position with a record lap time for the weekend Japan Grand Prix as world champion Valentino Rossi, seeking his fourth straight title, secured third place.",Sport
"Peaceful Olympics closes with 102 US medals ATHENS, Greece - Under a well-timed full moon to conclude a near-cloudless three weeks, the 2004 Summer Olympics came to an end Sunday night with music, dancing and the last of nearly 1,000 medals.",Sport
"Ramsey Still in Fight Patrick Ramsey's last chance to win the starting quarterback job may be Friday in St. Louis, but head coach Joe Gibbs is not tipping his hand.",Sport
"From Russia, with love game NEW YORK -- Whom do we blame for what happened last night -- a Russian woman Svetlana Kuznetsova taking home the US Open tennis championship?",Sport
"Arsenal extends win streak Arsenal stretched its record unbeaten string in the Premier League to 45 games, Freddie Ljungberg #39;s two second-half goals -- and another from Jose Antonio Reyes -- making the difference in yesterday #39;s 3-0 victory at Fulham.",Sport
"Japan Court Ex-Chess Champ Fischer Can Be Deported  TOKYO (Reuters) - A Tokyo court on Friday rejected a  request by former world chess champion Bobby Fischer to have  Japanese authorities halt procedures to deport him, Kyodo news  agency reported.",Politics
"US gives up on getting Iran to UN Security Council in September &lt;b&gt;...&lt;/b&gt; VIENNA : The United States now realizes that it does not have the majority it needs at the UN nuclear watchdog to bring Iran before the UN Security Council over Tehran #39;s alleged atomic weapons program, a US official told AFP.",Politics
"MTV Awards May Be Toned Down NEW YORK - In the 21-year history of MTV's Video Music Awards, viewers have been treated to some eye-popping moments - Prince's bare buttocks, Lil' Kim's sequined pasty, Britney and Madonna's steamy kiss last year.    But after the firestorm over the MTV-produced Super Bowl halftime show, in which Justin Timberlake ripped off part of Janet Jackson's costume to reveal her bare breast, might we see tamer VMAs when they air Sunday?    MTV President Van Toffler isn't promising any flesh-baring moments...",Politics
"Putin #39;s Power Play On Monday Russian President Vladimir Putin announced the biggest shake-up of Russia #39;s political system since its 1993 adoption of a post-Soviet constitution, drawing heaps of scorn from both the Russian and international press.",Politics
"Dhaka to announce reward for disclosing grenade attacker #39;s &lt;b&gt;...&lt;/b&gt; The Bangladeshi government may announce a reward of 10 million taka (166,000 US dollars) to anyone disclosing the names of the persons or groups responsible for the Aug.",Politics
"Wariner Leads U.S. Sweep in 400 ATHENS, Greece - Jeremy Wariner is just 20 years old. He just led a U.S...",Politics
"NFL: Everything goes wrong for Panthers CHARLOTTE, NC - Everything went right for the Carolina Panthers last season, from lucky bounces to staying injury free. One game into the new season, all that has changed.",Sport
"Medical Experts Fear Charley's Aftermath PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself...",Politics
Karzai dismisses powerful military governor ahead of Afghan polls (AFP) AFP - Afghan President Hamid Karzai dismissed a powerful warlord from his post as provincial governor in the latest move to solidify the central government's control of wayward provinces ahead of October's landmark polls.,Politics
"The five points of the Najaf peace agreement NAJAF: Rebel cleric Moqtada Sadr and his Mehdi Army were preparing to hand over the keys to the Imam Ali shrine on Friday after Sadr agreed a peace initiative by Iraqs top Shiite cleric, Grand Ayatollah Ali al-Sistani, to end fierce fighting in the ",Politics
Saudis to be sued over 9/11 Senior members of the ruling Saudi royal family have been accused of ultimate responsibility for the terrorist attack on the World Trade Centre that killed nearly 3000 people and sparked the worldwide war on terror.,Politics
"Militants May Attack Iraq Universities (AP) AP - A militant group threatened Wednesday to attack Iraqi universities if Iraqi authorities continued to permit women to study alongside men, according to a videotape broadcast on the Arab language Al-Arabiya television station.",Politics
"Braves 3, Phillies 1 Replacement starter Travis Smith pitched five solid innings, Andruw Jones homered again and the Atlanta Braves buried Philadelphia a little deeper in the NL East, beating the Phillies 3-1 on Monday.",Sport
"GB team: Radcliffe wasn #39;t injured ATHENS, Greece -- Paula Radcliffe #39;s emotional exit from the women #39;s marathon on Sunday was not due to an injury, the British Olympic team said on Monday.",Sport
"Dominicans shock US women In an early morning match before a handful of fans, the US women's volleyball team, ranked first in the world, lost to the Dominican Republic, 26-24, 22-25, 27-25, 23-25, 19-17. The US had not lost to the Dominicans, ranked 13th, since 1999 and did not try to dress up one of the biggest upsets of the Games, a loss arguably ...",Sport
"Europe: Vieira sent off: wins for England, Italy England lifted the pressure off the shoulders of coach Sven-Goran Eriksson on Wednesday after a 2-1 World Cup qualifying victory over Poland.",Sport
"Golden lining greets softball This gold medal comes with a broken heart. This victory - as dominant as the Olympic Games have seen in years from any sport, any team, any nation - comes with a searing sense of loss.",Sport
"Up to seven killed in Chechnya shootout: report (AFP) AFP - Up to seven people were killed in an attack on a police station in Grozny, the capital of the Russian breakaway republic of Chechnya, a report quoting officials said.",Politics
"Manager's image is sharper He was the dumbest guy in New England. Terry Fran-coma. Gomer Pyle in the dugout. Chewing that giant wad of stuff, making it look like he had a golf ball in his cheek. Not bunting. Not playing smallball. And taking the blame for every mistake his players made.",Sport
"Wayne rooney disappointed in Everton LIVERPOOL, Aug 29 (SW) - Everton and England striker Wayne Rooney has said he is  quot;disappointed quot; with the way his club and their fans have responded to his transfer request.",Sport
"Hewitt advances Lleyton Hewitt of Australia moved into the quarterfinals of the Legg Mason Tennis Classic with a 6-3, 6-2 victory over Alejandro Falla of Colombia in Washington. ",Sport
Hamas vows Gaza revenge Palestinian militant group Hamas swears vengeance for 14 of its members killed in an Israeli air strike on Gaza.,Politics
"Purdy sets Texas pace Ted Purdy hit a nine-under-par 61 to lead after the first round of the Valero Texas Open in San Antonio. The American, who is looking for his first PGA Tour victory, had birdies at four of his first five holes and finished eagle-birdie.",Sport
Tennis: Justine Henin-Hardenne Advances to 2nd Round of US Open Defending champion and top-seed Justine Henin-Hardenne fought off a surprising challenge Tuesday before moving into the second round of the US Open tennis tournament in New York.,Sport
Yeltsin warns against rolling back democracy in wake of Beslan (AFP) AFP - Russia's first post-Soviet president Boris Yeltsin issued a veiled warning that President Vladimir Putin's decision to hand sweeping new powers to the Kremlin in the wake of the Beslan hostage crisis could roll back democratic freedoms.,Politics
A Note to Lula: Haiti Is in Brazil The English writer George Orwell once expressed doubts about the wisdom of sports contests as a way of bringing nations together. He was writing during the Cold War when the sports arena became a substitute battlefield between the West and East. ,Sport
"Bombs explode in Thailand #39;s south Two explosions rocked Thailand #39;s troubled southern region Thursday, killing one person and injuring as many as two dozen others.",Politics
Report: Kidd Not Expected Back Until December (Reuters) Reuters - New Jersey Nets guard Jason\Kidd continues to recover from surgery on his left knee and\will reportedly be sidelined until December.,Sport
"89 dead in twin Russian plane crashes, terror probed (AFP) AFP - Russia observed a day of mourning for the 89 people killed when two Russian passenger jets crashed almost simultaneously hundreds of miles apart after taking off from the same Moscow airport, raising new fears of terrorist attacks.",Politics
"Before hiatus, Canada wins The hockey season started early this year and, after two entertaining weeks of the World Cup, it ends for who knows how long. Despite the impending announcement of an NHL lockout today ",Sport
"Chad: Hepatitis E Breaks Out As More Refugees Threaten to Cross Border The deadly viral infection Hepatitis E has broken out among refugees from Sudan #39;s Darfur region at two camps in eastern Chad and may have passed into the local community, aid workers said on Friday. ",Politics
"Military toll tops 1,000 US military deaths in the Iraq campaign passed the 1,000 mark yesterday, with more than 800 of them during the stubborn insurgency that flared ",Politics
Back to reality There was a little less than five minutes left when receiver Gerald Smith threw his helmet down in frustration on the Penn State sideline.,Sport
"Anwar plots his return KUALA LUMPUR: Malaysia #39;s highest court will decide today whether to review the corruption conviction of former deputy prime minister Anwar Ibrahim, a move that could lead to his immediate return to politics.",Politics
"Oil Prices Drop \$1 Despite Iraq Sabotage WASHINGTON - Oil futures dropped by nearly \$1 per barrel Monday despite pipeline sabotage in Iraq that has delayed exports from a southern port - reinforcing the view among traders that prices had risen too fast earlier this summer.   ""It just goes to show you that when the psychology turns, it turns,"" said Tom Bentz, a trader at BNP Paribas Futures in New York...",Politics
"Protesters March Across Brooklyn Bridge (AP) AP - Thousands of abortion-rights activists marched across the Brooklyn Bridge and demonstrators rang handbells at the World Trade Center site Saturday, the latest in a growing procession of protests leading up to the Republican National Convention.",Politics
"Cats pack heat against Wisconsin TUCSON, Ariz. (U-WIRE) -- If the Arizona football team (1-1) wants any shot at defeating No. 17 Wisconsin (2-0) Saturday afternoon, it #39;s going to have to turn up the heat.",Sport
"Thatcher's Son Charged in Coup Plot The son of former British prime minister Margaret Thatcher, an ex-race car driver whose business career has been dogged by accusations of questionable arms deals and shady ventures, was charged Wednesday with helping finance a foiled coup plot in oil-rich Equatorial Guinea.",Politics
"PGA Player of the Year Singh ready for more in  #39;05 Vijay Singh, who took more than 20 years to get to the top of his profession, culminated his career year Monday when he was named 2004 Player of the Year on the PGA Tour.",Sport
"Tourists award gold to Athens ATHENS (Reuters) - The Olympic hosts are winning rave reviews after the first week of the Athens Games, with foreign visitors expressing delight with the friendly, clean and well-organised Greek capital. ",Sport
"British soldier charged with murdering Iraqi London -- For the first time, British authorities have charged a soldier with murder in the death of a civilian in Iraq, indicting him in civilian court yesterday after a commanding officer blocked a court-martial.",Politics
"Menchov wins fifth stage; Manuel Beltran takes lead at the Spanish &lt;b&gt;...&lt;/b&gt; Denis Menchov of Russia won the fifth stage of the Spanish Vuelta on Wednesday, while Manuel Beltran of the US Postal Service took the overall lead from teammate Benoit Joachim.",Sport
"Men #39;s Basketball: No medal for favorite after upset ATHENS Serbia-Montenegro is shockingly out of medal contention in Olympic men #39;s basketball, and the team #39;s head coach doesn #39;t have many admirers left at home.",Sport
"Accused Hamas Leader Denies U.S. Charges DAMASCUS, Syria - A senior official of the Palestinian militant group Hamas indicted in the United States for conspiring to fund terror attacks against Israel denied the accusations and said the charges were driven by election-year politics in the United States.   ""This is election campaigning,"" Mousa Abu Marzook, deputy chief of the Hamas political bureau, told The Associated Press in Damascus on Friday...",Politics
"SOU MIGHT JUST BE THE MAN So here I am at Sky News, waiting to go on air to talk about Graeme Souness getting the Newcastle job. On Saturday I was reliably informed by a VERY good contact that David O #39;Leary was on the ",Sport
"Redskins 27, Falcons 0 Mark Brunell opened the game with a touchdown drive and was done for the night. Michael Vick opened with an interception and never did produce a play for positive yardage.",Sport
"Stocks Expected to Fall on Alcoa Report NEW YORK - Stock prices were expected to drop after the opening bell Friday as investors stay cautious on the corporate earnings picture, with Alcoa Inc. likely casting a shadow in early trading...",Politics
"Palmer Leads Bengals Past Colts 16-13 (AP) AP - Carson Palmer made a rookie mistake: He pointed to the sky too soon. Other than a premature touchdown celebration on a goal-line fumble, Palmer looked like an up-and-coming quarterback Friday night during the Cincinnati Bengals' 16-13 victory over the Indianapolis Colts.",Sport
"NHL Owners Will Lock Out Players in Contract Dispute (Update1) National Hockey League owners authorized a lockout of players after the sides failed to agree on a new labor contract, resulting in the league #39;s first work stoppage in 10 years.",Sport
"Silver finale for USA In the last event of the 2004 Olympic Games, the United States track team produced one last surprise. Meb Keflezighi, a native of Eritrea who moved to the United States as ",Sport
"Kuznetsova Tops Dementieva for Open Title (AP) AP - Pounding ferocious forehands and covering the baseline with the muscular legs of a Tour de France rider, Svetlana Kuznetsova overwhelmed Elena Dementieva 6-3, 7-5 Saturday night in the U.S. Open's first all-Russian final.",Sport
"Top-seeded Federer upset in second round ATHENS, Greece (AP)  Top-seeded Roger Federer was eliminated in the second round of the Olympics Tuesday night, losing 4-6, 7-5, 7-5 to Tomas Berdych of the Czech Republic. Federer, who won Wimbledon the past two years and replaced Andy Roddick atop ...",Sport
Gaza Gunmen Kidnap Senior Palestinian Official  GAZA (Reuters) - Palestinian gunmen kidnapped a top  security official in the Gaza Strip on Thursday in a fresh  challenge to President Yasser Arafat's rule amid a wave of  unrest.,Politics
"Najaf Fighting Flares; Sadr Forces Hold Shrine Description: US forces clash again in Najaf with fighters loyal to Shiite cleric Muqtada al-Sadr. Efforts by the Iraqi government to reach a disarmament deal with Sadr are at an impasse, and his forces continue to hold the Imam Ali shrine.",Politics
Spaniards can lift Liverpool: Benitez Liverpool manager Rafael Benitez insists his new Spanish signings will help the Reds to become contenders for the English Premiership crown.,Sport
"Typhoon subsides after killing at least 31 The death toll from Typhoon Songda rose to 31 Wednesday, with at least 14 people still missing and more than 900 injured mainly in Hokkaido and western Japan.",Politics
"3 SAUDI COPS MASSACRED September 6, 2004 -- RIYADH, Saudi Arabia - Three Saudi Arabian security men were killed yesterday in clashes with militants in the northern city of Buraydah, state television reported.",Politics
Everton Rejects Newcastle #39;s 20 Million Pound Offer for Rooney Everton rejected a bid of 20 million pounds (\$36 million) from English Premiership soccer rival Newcastle United for teenage striker Wayne Rooney.,Sport
Olympics-Fencing-U.S. and Swiss End Gold Drought  ATHENS (Reuters) - Mariel Zagunis won the first fencing  gold for the United States for 100 years when she beat Xue Tan  of China 15-9 in the inaugural Olympic women's sabre final on  Tuesday.,Sport
"Athens throws Paralympic party for largest games ever More than 3,800 disabled athletes gathered Friday for the opening ceremony of the largest Paralympics in the games #39; 44-year history.",Sport
"AP: Group Discovers John the Baptist Cave KIBBUTZ TZUBA, Israel - Archaeologists said Monday they have found a cave where they believe John the Baptist anointed many of his disciples - a huge cistern with 28 steps leading to an underground pool of water.    During an exclusive tour of the cave by The Associated Press, archaeologists presented wall carvings they said tell the story of the fiery New Testament preacher, as well as a stone they believe was used for ceremonial foot washing...",Politics
Amanda Beard Finally Comes of Age in Athens  ATHENS (Reuters) - Amanda Beard credited her new-found  maturity for ending an eight-year wait for a second Olympic  gold medal in Athens Thursday.,Sport
Charles to help flood victims THE Prince of Wales toured the flood-hit village of Boscastle yesterday - and pledged to make a  quot;substantial quot; donation to those facing a massive clean-up operation. ,Politics
"Radical cleric now says he #39;ll leave holy shrine Moqtada al-Sadr, the radical Shiite cleric who has been involved in a two-week battle with US forces, has offered to leave a holy shrine in Najaf. ",Politics
"Dementieva Advances to U.S. Open Semis NEW YORK - Elena Dementieva shook off a subpar serve that produced 15 double-faults, an aching left thigh and an upset stomach to advance to the semifinals at the U.S. Open with a 4-6, 6-4, 7-6 (1) victory Tuesday over Amelie Mauresmo...",Politics
"Ward represents US boxing team #39;s lone chance for gold The underperforming US boxing team lost one of its two Andres Friday when middleweight Dirrell lost his semifinal bout to Kazakhstan #39;s Gennadiy Golovkin, falling out on points, 23-18.",Sport
"Ukraine Still in Turmoil Despite Concessions  KIEV (Reuters) - Ukraine's outgoing leader made key  concessions Tuesday to opponents staging mass protests against  a rigged presidential poll, but failed to agree exactly how to  end the ex-Soviet state's political turmoil.",Politics
"US Looking for Reason to Act Against Iran -Kharrazi The United States is looking for a reason to act against Iran amid accusations Tehran is secretly developing atomic weapons, Iran #39;s Foreign Minister Kamal Kharrazi said in remarks published on Tuesday.",Politics
Shevchenko #39;s goals will be crucial. (Getty Images) AC Milan begin their Serie A campaign at home to newly-promoted Livorno on Saturday evening under the weight of great expectation.,Sport
"Africa 'faces new polio threat' Africa could be on the verge of a major polio outbreak, the World Health Organization warns.",Politics
"Thursday #39;s Baseball Roundup (CP) - Somehow, in the span of half an hour, the Detroit Tigers #39; pitching went from brutal to brilliant. Shortly after being on the wrong end of several records in a 26-5 thrashing from to the Kansas City ",Sport
